,Apps,Top10perc,Top25perc,PhD
Abilene Christian University,1660,23,52,70
Adelphi University,2186,16,29,29
Adrian College,1428,22,50,53
Agnes Scott College,417,60,89,92
Alaska Pacific University,193,16,44,76
Albertson College,587,38,62,67
Albertus Magnus College,353,17,45,90
Albion College,1899,37,68,89
Albright College,1038,30,63,79
Alderson-Broaddus College,582,21,44,40
Alfred University,1732,37,75,82
Allegheny College,2652,44,77,73
Allentown Coll. of St. Francis de Sales,1179,38,64,60
Alma College,1267,44,73,79
Alverno College,494,23,46,36
American International College,1420,9,22,78
Amherst College,4302,83,96,93
Anderson University,1216,19,40,48
Andrews University,1130,14,23,62
Angelo State University,3540,24,54,60
Antioch University,713,25,44,69
Appalachian State University,7313,20,63,83
Aquinas College,619,20,51,55
Arizona State University Main campus,12809,24,49,88
Arkansas College (Lyon College),708,46,74,79
Arkansas Tech University,1734,12,52,57
Assumption College,2135,23,59,93
Auburn University-Main Campus,7548,25,57,85
Augsburg College,662,12,30,65
Augustana College IL,1879,36,69,78
Augustana College,761,21,58,66
Austin College,948,42,74,81
Averett College,627,16,40,59
Baker University,602,21,47,58
Baldwin-Wallace College,1690,30,61,68
Barat College,261,15,36,57
Bard College,1910,50,85,98
Barnard College,2496,53,95,83
Barry University,990,18,45,76
Baylor University,6075,34,66,71
Beaver College,1163,23,56,78
Bellarmine College,807,39,63,74
Belmont Abbey College,632,17,36,78
Belmont University,1220,28,67,61
Beloit College,1320,26,54,87
Bemidji State University,1208,12,36,57
Benedictine College,632,14,24,64
Bennington College,519,25,53,35
Bentley College,3466,20,60,87
Berry College,1858,37,68,80
Bethany College,878,16,41,62
Bethel College KS,202,19,42,61
Bethel College,502,11,28,63
Bethune Cookman College,1646,12,30,48
Birmingham-Southern College,805,67,88,74
Blackburn College,500,25,55,76
Bloomsburg Univ. of Pennsylvania,6773,15,55,66
Bluefield College,377,15,30,61
Bluffton College,692,20,50,76
Boston University,20192,45,80,80
Bowdoin College,3356,76,100,93
Bowling Green State University,9251,14,45,81
Bradford College,443,5,36,57
Bradley University,3767,30,58,75
Brandeis University,4186,48,77,90
Brenau University,367,12,41,71
Brewton-Parker College,1436,10,26,62
Briar Cliff College,392,16,44,39
Bridgewater College,838,22,53,68
Brigham Young University at Provo,7365,48,82,76
Brown University,12586,87,95,99
Bryn Mawr College,1465,71,95,100
Bucknell University,6548,49,85,95
Buena Vista College,860,32,70,62
Butler University,2362,40,68,77
Cabrini College,599,8,28,59
Caldwell College,1011,17,42,87
California Lutheran University,563,23,52,72
California Polytechnic-San Luis,7811,47,73,72
California State University at Fresno,4540,5,60,90
Calvin College,1784,29,56,75
Campbell University,2087,20,54,77
Campbellsville College,848,25,55,62
Canisius College,2853,16,34,90
Capital University,1747,34,66,64
Capitol College,100,10,52,10
Carleton College,2694,75,93,81
Carnegie Mellon University,8728,60,89,86
Carroll College,1160,19,55,74
Carson-Newman College,1096,27,62,61
Carthage College,1616,20,43,74
Case Western Reserve University,3877,71,93,95
Castleton State College,1257,9,22,89
Catawba College,1083,13,34,75
Catholic University of America,1754,24,49,90
Cazenovia College,3847,9,35,22
Cedar Crest College,776,25,58,58
Cedarville College,1307,25,55,50
Centenary College,369,12,46,41
Centenary College of Louisiana,495,35,55,86
Center for Creative Studies,601,1,20,8
Central College,1283,31,65,76
Central Connecticut State University,4158,6,24,69
Central Missouri State University,4681,10,35,69
Central Washington University,2785,8,65,67
Central Wesleyan College,174,8,29,62
Centre College,1013,55,82,95
Chapman University,959,23,48,72
Chatham College,212,28,56,95
Chestnut Hill College,342,25,64,71
Christendom College,81,33,71,92
Christian Brothers University,880,16,42,81
Christopher Newport University,883,3,37,80
Claflin College,1196,21,47,69
Claremont McKenna College,1860,71,93,99
Clark University,2887,30,61,94
Clarke College,460,14,45,67
Clarkson University,2174,35,68,95
Clemson University,8065,37,65,82
Clinch Valley Coll. of  the Univ. of Virginia,689,15,30,67
Coe College,1006,29,60,73
Coker College,604,15,47,64
Colby College,2848,58,84,83
Colgate University,4856,46,75,95
College Misericordia,1432,29,58,56
College of Charleston,4772,22,55,73
College of Mount St. Joseph,798,14,41,46
College of Mount St. Vincent,946,23,46,75
College of Notre Dame,344,11,42,77
College of Notre Dame of Maryland,457,35,61,64
College of Saint Benedict,938,29,62,70
College of Saint Catherine,511,23,51,63
College of Saint Elizabeth,444,34,53,68
College of Saint Rose,983,23,57,66
College of Santa Fe,546,16,42,40
College of St. Joseph,141,12,21,53
College of St. Scholastica,672,29,60,54
College of the Holy Cross,2994,70,95,92
College of William and Mary,7117,68,88,89
College of Wooster,2100,29,65,84
Colorado College,3207,56,87,85
Colorado State University,9478,29,65,87
Columbia College MO,314,10,28,87
Columbia College,737,21,67,61
Columbia University,6756,78,96,97
Concordia College at St. Paul,281,13,29,69
Concordia Lutheran College,232,16,34,67
Concordia University CA,688,30,75,55
Concordia University,528,22,56,56
Connecticut College,3035,42,93,86
Converse College,440,35,70,63
Cornell College,1538,33,68,71
Creighton University,2967,30,60,85
Culver-Stockton College,1576,24,55,51
Cumberland College,995,26,47,42
D'Youville College,866,18,47,68
Dana College,504,10,36,46
Daniel Webster College,585,12,30,61
Dartmouth College,8587,87,99,95
Davidson College,2373,77,96,95
Defiance College,571,10,26,58
Delta State University,967,15,48,49
Denison University,2762,32,60,88
DePauw University,1994,50,80,78
Dickinson College,3014,31,68,87
Dickinson State University,434,10,30,50
Dillard University,1998,41,88,52
Doane College,793,20,47,67
Dominican College of Blauvelt,360,4,19,43
Dordt College,604,25,50,61
Dowling College,1011,9,33,77
Drake University,2799,34,65,88
Drew University,2153,56,84,93
Drury College,700,33,66,82
Duke University,13789,90,98,95
Earlham College,1358,35,63,90
East Carolina University,9274,14,44,74
East Tennessee State University,3330,15,36,73
East Texas Baptist University,379,10,36,62
Eastern College,458,16,42,60
Eastern Connecticut State University,2172,14,50,71
Eastern Illinois University,5597,12,38,62
Eastern Mennonite College,486,19,48,46
Eastern Nazarene College,516,17,40,58
Eckerd College,1422,33,65,82
Elizabethtown College,2417,36,70,65
Elmira College,1457,27,50,77
Elms College,245,23,46,71
Elon College,3624,11,39,70
Embry Riddle Aeronautical University,3151,14,40,37
Emory & Henry College,765,30,60,79
Emory University,8506,76,97,97
Emporia State University,1256,43,79,72
Erskine College,659,47,74,76
Eureka College,560,36,56,62
Evergreen State College,1801,14,50,75
Fairfield University,4784,30,66,86
Fayetteville State University,1455,1,16,75
Ferrum College,1339,12,36,53
Flagler College,1415,18,52,52
Florida Institute of Technology,1947,39,74,90
Florida International University,3306,42,89,81
Florida Southern College,1381,20,44,65
Florida State University,11651,50,90,80
Fontbonne College,291,16,49,45
Fordham University,4200,30,55,86
Fort Lewis College,3440,16,35,89
Francis Marion University,1801,13,38,76
Franciscan University of Steubenville,553,22,49,57
Franklin College,804,29,72,54
Franklin Pierce College,5187,3,14,50
Freed-Hardeman University,895,20,54,68
Fresno Pacific College,346,51,87,59
Furman University,2161,56,82,92
Gannon University,2464,24,57,47
Gardner Webb University,1110,18,36,65
Geneva College,668,19,39,67
George Fox College,809,27,52,53
George Mason University,5653,17,29,93
George Washington University,7875,38,71,92
Georgetown College,727,30,55,73
Georgetown University,11115,71,93,91
Georgia Institute of Technology,7837,89,99,92
Georgia State University,3793,9,24,87
Georgian Court College,348,12,52,56
Gettysburg College,3596,42,78,94
Goldey Beacom College,633,10,27,25
Gonzaga University,1886,31,67,78
Gordon College,674,25,54,73
Goshen College,440,26,51,51
Goucher College,1151,40,64,78
Grace College and Seminary,548,18,46,53
Graceland College,555,14,41,51
Grand Valley State University,5165,20,60,64
Green Mountain College,780,7,20,77
Greensboro College,608,10,31,64
Greenville College,510,20,46,57
Grinnell College,2039,56,91,88
Grove City College,2491,57,88,65
Guilford College,1202,18,44,78
Gustavus Adolphus College,1709,36,72,79
Gwynedd Mercy College,380,30,56,36
Hamilton College,3140,40,82,91
Hamline University,1006,34,73,89
Hampden - Sydney College,817,20,40,95
Hampton University,7178,25,63,60
Hanover College,1006,33,65,84
Hardin-Simmons University,467,16,40,75
Harding University,1721,35,75,71
Hartwick College,2083,22,49,75
Harvard University,13865,90,100,97
Harvey Mudd College,1377,95,100,100
Hastings College,817,22,52,57
Hendrix College,823,52,87,82
Hillsdale College,920,35,66,80
Hiram College,922,37,66,75
Hobart and William Smith Colleges,2688,25,53,99
Hofstra University,7428,25,63,81
Hollins College,602,26,58,78
Hood College,699,36,64,82
Hope College,1712,37,69,72
Houghton College,949,30,70,85
Huntingdon College,608,26,47,63
Huntington College,450,20,46,76
Huron University,600,3,9,31
Husson College,723,10,30,36
Illinois Benedictine College,607,22,47,81
Illinois College,894,28,63,75
Illinois Institute of Technology,1756,42,77,80
Illinois State University,8681,10,35,77
Illinois Wesleyan University,3050,55,86,77
Immaculata College,268,16,44,56
Incarnate Word College,1163,16,49,67
Indiana State University,5659,10,31,72
Indiana University at Bloomington,16587,25,72,77
Indiana Wesleyan University,735,20,48,49
Iona College,4892,13,33,66
Iowa State University,8427,26,59,81
Ithaca College,7259,23,52,58
James Madison University,11223,32,72,77
Jamestown College,472,14,41,51
Jersey City State College,2957,10,30,63
John Brown University,605,24,53,68
John Carroll University,2421,27,57,89
Johns Hopkins University,8474,75,94,96
Johnson State College,833,3,13,80
Judson College,313,10,30,34
Juniata College,1005,36,55,97
Kansas State University,5880,25,55,76
Kansas Wesleyan University,589,16,40,63
Keene State College,3121,5,19,73
Kentucky Wesleyan College,584,20,49,57
Kenyon College,2212,44,75,95
Keuka College,461,10,43,55
King's College,1456,20,45,66
King College,355,34,65,65
Knox College,1040,48,77,88
La Roche College,361,10,41,57
La Salle University,2929,20,56,90
Lafayette College,4010,36,59,93
LaGrange College,544,15,35,77
Lake Forest College,979,31,70,91
Lakeland College,497,24,47,49
Lamar University,2336,10,27,48
Lambuth University,831,15,35,61
Lander University,1166,9,33,67
Lawrence University,1243,50,77,76
Le Moyne College,1470,21,76,89
Lebanon Valley College,1386,28,56,84
Lehigh University,6397,40,84,96
Lenoir-Rhyne College,979,25,46,88
Lesley College,244,12,33,71
LeTourneau University,477,29,54,58
Lewis and Clark College,2774,35,64,97
Lewis University,1154,12,31,36
Lincoln Memorial University,787,21,55,67
Lincoln University,1660,15,41,71
Lindenwood College,810,6,33,65
Linfield College,1561,48,72,89
Livingstone College,900,22,47,53
Lock Haven University of Pennsylvania,3570,17,41,47
Longwood College,2747,12,47,74
Loras College,1641,20,39,61
Louisiana College,2013,33,61,64
Louisiana State University at Baton Rouge,5996,29,57,83
Louisiana Tech University,2397,22,45,66
Loyola College,4076,25,54,86
Loyola Marymount University,3768,42,64,84
Loyola University,1891,24,80,77
Loyola University Chicago,3579,25,55,94
Luther College,1549,38,72,73
Lycoming College,1286,16,37,75
Lynchburg College,1756,3,21,62
Lyndon State College,535,6,20,48
Macalester College,2939,56,86,85
MacMurray College,740,12,29,49
Malone College,874,21,46,42
Manchester College,1004,23,63,63
Manhattan College,2432,20,63,92
Manhattanville College,962,21,54,97
Mankato State University,3073,9,29,57
Marian College of Fond du Lac,824,15,41,37
Marietta College,1611,27,60,80
Marist College,4731,12,31,74
Marquette University,5152,36,71,86
Marshall University,4226,14,60,77
Mary Baldwin College,499,26,52,66
Mary Washington College,4350,39,78,75
Marymount College Tarrytown,478,9,34,71
Marymount Manhattan College,695,21,30,63
Marymount University,941,10,30,77
Maryville College,1464,26,52,80
Maryville University,549,26,51,52
Marywood College,1107,13,51,65
Massachusetts Institute of Technology,6411,96,99,99
Mayville State University,233,5,12,68
McKendree College,1002,16,43,70
McMurry University,578,25,50,57
McPherson College,420,11,32,54
Mercer University,2286,37,70,93
Mercyhurst College,1557,15,40,45
Meredith College,857,25,58,77
Merrimack College,1981,18,36,73
Mesa State College,1584,6,18,48
Messiah College,1742,30,64,68
Miami University at Oxford,9239,35,39,81
Michigan State University,18114,23,57,93
Michigan Technological University,2618,42,77,82
MidAmerica Nazarene College,331,15,36,33
Millersville University of Penn.,6011,22,60,72
Milligan College,610,26,52,63
Millikin University,1444,29,62,60
Millsaps College,905,32,61,82
Milwaukee School of Engineering,1217,36,69,35
Mississippi College,594,36,57,77
Mississippi State University,4255,18,57,77
Mississippi University for Women,480,19,46,49
Missouri Southern State College,1576,13,50,52
Missouri Valley College,1310,5,35,35
Monmouth College IL,601,28,57,91
Monmouth College,2707,14,34,70
Montana College of Mineral Sci. & Tech.,572,45,72,71
Montana State University,3500,15,42,75
Montclair State University,5220,19,53,82
Montreat-Anderson College,263,10,24,42
Moorhead State University,2442,12,37,76
Moravian College,1232,23,58,86
Morehouse College,3708,41,66,71
Morningside College,586,16,36,48
Morris College,882,2,13,53
Mount Holyoke College,1800,47,79,79
Mount Marty College,279,17,37,45
Mount Mary College,235,12,32,51
Mount Mercy College,368,20,49,44
Mount Saint Clare College,325,16,33,32
Mount Saint Mary's College,1321,15,36,77
Mount Saint Mary College,1170,14,48,74
Mount St. Mary's College,657,37,90,53
Mount Union College,1310,26,61,85
Mount Vernon Nazarene College,510,18,36,57
Muhlenberg College,2519,30,61,76
Murray State University,2225,29,55,72
Muskingum College,1109,24,46,73
National-Louis University,513,23,48,62
Nazareth College of Rochester,947,36,68,77
New Jersey Institute of Technology,1879,27,62,92
New Mexico Institute of Mining and Tech.,787,40,73,99
New York University,13594,70,86,87
Newberry College,872,14,36,57
Niagara University,2220,65,99,68
North Adams State College,1563,1,19,65
North Carolina A. & T. State University,4809,12,33,72
North Carolina State University at Raleigh,10634,39,78,92
North Carolina Wesleyan College,812,7,24,77
North Central College,1127,30,64,73
North Dakota State University,2968,13,47,79
North Park College,465,19,39,76
Northeast Missouri State University,6040,36,72,69
Northeastern University,11901,16,42,73
Northern Arizona University,5891,23,48,78
Northern Illinois University,10706,12,37,73
Northwest Missouri State University,2729,8,29,62
Northwest Nazarene College,616,29,52,59
Northwestern College,860,22,56,68
Northwestern University,12289,85,98,96
Norwich University,1743,8,29,71
Notre Dame College,379,15,37,44
Oakland University,3041,16,56,88
Oberlin College,4778,50,89,77
Occidental College,2324,52,81,91
Oglethorpe University,792,56,87,91
Ohio Northern University,2936,35,62,73
Ohio University,11023,21,54,79
Ohio Wesleyan University,2190,36,65,93
Oklahoma Baptist University,758,35,59,63
Oklahoma Christian University,776,22,44,58
Oklahoma State University,4522,29,57,84
Otterbein College,1496,26,57,62
Ouachita Baptist University,910,31,73,63
Our Lady of the Lake University,2308,22,46,56
Pace University,8256,37,70,90
Pacific Lutheran University,1603,31,68,78
Pacific Union College,940,20,48,48
Pacific University,943,41,71,76
Pembroke State University,944,14,34,77
Pennsylvania State Univ. Main Campus,19315,48,93,77
Pepperdine University,3821,86,96,95
Peru State College,701,10,40,48
Pfeiffer College,838,11,25,62
Philadelphia Coll. of Textiles and Sci.,1538,19,42,48
Phillips University,692,19,50,58
Piedmont College,663,20,40,89
Pikeville College,404,28,48,48
Pitzer College,1133,37,73,100
Point Loma Nazarene College,809,20,43,71
Point Park College,875,7,38,45
Polytechnic University,1132,58,89,90
Prairie View A. and M. University,2405,10,22,55
Presbyterian College,1082,34,63,80
Princeton University,13218,90,98,91
Providence College,5139,20,55,66
Purdue University at West Lafayette,21804,29,60,86
Queens College,516,32,62,73
Quincy University,1025,22,66,69
Quinnipiac College,3712,17,45,63
Radford University,5702,15,37,73
Ramapo College of New Jersey,2088,6,29,74
Randolph-Macon College,1771,21,46,77
Randolph-Macon Woman's College,696,35,66,88
Reed College,1966,47,80,90
Regis College,427,18,38,81
Rensselaer Polytechnic Institute,4996,53,82,94
Rhodes College,2302,58,82,90
Rider University,3586,16,31,84
Ripon College,587,28,52,87
Rivier College,484,6,28,59
Roanoke College,2227,27,54,85
Rockhurst College,935,22,50,60
Rocky Mountain College,560,11,31,56
Roger Williams University,3304,10,20,44
Rollins College,1777,31,55,81
Rosary College,434,28,53,79
Rowan College of New Jersey,3820,21,70,76
Rutgers at New Brunswick,48094,36,79,90
Rutgers State University at Camden,3366,27,79,90
Rutgers State University at Newark,5785,26,62,90
Sacred Heart University,2307,19,51,71
Saint Ambrose University,897,12,48,56
Saint Anselm College,2095,15,40,70
Saint Cloud State University,3971,10,34,70
Saint Francis College IN,213,13,36,43
Saint Francis College,1046,21,45,64
Saint John's University,933,18,45,76
Saint Joseph's College IN,920,24,42,55
Saint Joseph's College,833,12,33,53
Saint Joseph's University,2519,39,71,84
Saint Joseph College,292,20,52,87
Saint Louis University,3294,44,67,84
Saint Mary's College,888,26,60,74
Saint Mary's College of Minnesota,876,14,35,68
Saint Mary-of-the-Woods College,150,23,50,44
Saint Michael's College,1910,16,64,79
Saint Olaf College,2248,38,73,82
Saint Peter's College,1606,23,38,78
Saint Vincent College,700,19,35,62
Saint Xavier University,785,15,65,87
Salem-Teikyo University,489,23,52,46
Salem College,335,28,69,68
Salisbury State University,4216,20,52,73
Samford University,1680,34,76,74
San Diego State University,9402,20,70,87
Santa Clara University,4019,40,73,88
Sarah Lawrence College,1380,57,82,89
Savannah Coll. of Art and Design,1109,20,65,14
Schreiner College,584,19,51,51
Scripps College,855,60,83,95
Seattle Pacific University,1183,42,82,83
Seattle University,2115,28,72,85
Seton Hall University,4576,16,36,81
Seton Hill College,936,24,56,71
Shippensburg University of Penn.,5818,14,53,80
Shorter College,540,23,70,62
Siena College,2961,24,68,71
Siena Heights College,464,10,31,29
Simmons College,1003,23,53,74
Simpson College,1016,27,57,66
Sioux Falls College,437,13,35,73
Skidmore College,4293,25,62,87
Smith College,2925,51,88,85
South Dakota State University,2807,13,37,62
Southeast Missouri State University,2281,18,43,75
Southeastern Oklahoma State Univ.,818,20,50,55
Southern California College,385,18,38,63
Southern Illinois University at Edwardsville,2540,13,40,76
Southern Methodist University,4301,41,69,74
Southwest Baptist University,1093,12,32,52
Southwest Missouri State University,6118,15,37,70
Southwest State University,1047,13,33,58
Southwestern Adventist College,321,11,27,44
Southwestern College,213,28,66,56
Southwestern University,1244,44,77,83
Spalding University,283,10,45,50
Spelman College,3713,47,83,73
Spring Arbor College,372,15,32,48
St. Bonaventure University,1489,13,45,91
St. John's College,323,31,51,63
St. John Fisher College,1368,19,51,86
St. Lawrence University,2753,31,56,90
St. Martin's College,191,5,25,43
St. Mary's College of California,2643,36,80,88
St. Mary's College of Maryland,1340,42,73,84
St. Mary's University of San Antonio,1243,33,60,82
St. Norbert College,1334,30,56,74
St. Paul's College,651,8,17,45
St. Thomas Aquinas College,861,10,27,69
Stephens College,450,17,34,46
Stetson University,1557,37,69,85
Stevens Institute of Technology,1768,51,93,89
Stockton College of New Jersey,4019,23,65,78
Stonehill College,3646,25,69,79
SUNY at Albany,13528,16,61,93
SUNY at Binghamton,14463,60,94,83
SUNY at Buffalo,15039,36,100,90
SUNY at Stony Brook,12512,27,66,91
SUNY College  at Brockport,7294,7,34,79
SUNY College  at Oswego,8000,17,70,69
SUNY College at Buffalo,5318,8,29,71
SUNY College at Cortland,7888,6,40,82
SUNY College at Fredonia,4877,13,48,82
SUNY College at Geneseo,8598,56,93,79
SUNY College at New Paltz,8399,19,53,85
SUNY College at Plattsburgh,5549,9,40,80
SUNY College at Potsdam,3150,16,51,71
SUNY College at Purchase,2119,5,33,80
Susquehanna University,2096,27,59,83
Sweet Briar College,462,36,68,91
Syracuse University,10477,28,67,73
Tabor College,257,19,41,55
Talladega College,4414,30,60,56
Taylor University,1769,41,80,60
Tennessee Wesleyan College,232,7,29,59
Texas A&M Univ. at College Station,14474,49,85,89
Texas A&M University at Galveston,529,22,47,103
Texas Christian University,4095,33,64,81
Texas Lutheran College,497,27,57,54
Texas Southern University,4345,15,85,65
Texas Wesleyan University,592,19,44,80
The Citadel,1500,12,36,95
Thiel College,1154,15,31,68
Tiffin University,845,5,21,59
Transylvania University,759,57,81,81
Trenton State College,5042,55,94,81
Tri-State University,1262,14,40,53
Trinity College CT,3058,46,84,91
Trinity College DC,247,19,49,89
Trinity College VT,222,16,41,58
Trinity University,2425,62,93,94
Tulane University,7033,47,75,98
Tusculum College,626,12,34,70
Tuskegee University,2267,20,59,70
Union College KY,484,9,45,60
Union College NY,3495,49,84,94
Univ. of Wisconsin at OshKosh,4800,14,48,73
University of Alabama at Birmingham,1797,24,35,96
University of Arkansas at Fayetteville,3235,25,65,73
University of California at Berkeley,19873,95,100,93
University of California at Irvine,15698,85,100,96
University of Central Florida,6986,25,60,80
University of Charleston,682,22,43,26
University of Chicago,6348,68,94,99
University of Cincinnati,6855,26,57,89
University of Connecticut at Storrs,9735,23,63,89
University of Dallas,681,44,74,85
University of Dayton,6361,26,51,81
University of Delaware,14446,22,57,82
University of Denver,2974,29,60,84
University of Detroit Mercy,927,24,50,72
University of Dubuque,576,11,39,85
University of Evansville,2096,35,67,60
University of Florida,12445,54,85,88
University of Georgia,11220,43,79,88
University of Hartford,5081,11,26,61
University of Hawaii at Manoa,3580,36,69,85
University of Illinois - Urbana,14939,52,88,87
University of Illinois at Chicago,8384,22,50,82
University of Indianapolis,1487,26,51,55
University of Kansas,8579,25,50,88
University of La Verne,1597,16,38,66
University of Louisville,4777,16,33,84
University of Maine at Farmington,1208,20,48,67
University of Maine at Machias,441,17,45,46
University of Maine at Presque Isle,461,10,40,67
University of Maryland at Baltimore County,4269,27,57,82
University of Maryland at College Park,14292,22,53,89
University of Massachusetts at Amherst,14438,12,39,88
University of Massachusetts at Dartmouth,3347,10,37,74
University of Miami,7122,42,69,82
University of Michigan at Ann Arbor,19152,66,92,90
University of Minnesota at Duluth,4192,15,45,79
University of Minnesota at Morris,1458,56,86,74
University of Minnesota Twin Cities,11054,26,55,88
University of Mississippi,3844,26,47,81
University of Missouri at Columbia,6574,32,62,87
University of Missouri at Rolla,1877,49,77,88
University of Missouri at Saint Louis,1618,18,54,71
University of Mobile,452,17,54,59
University of Montevallo,1351,18,78,72
University of Nebraska at Lincoln,6277,33,63,86
University of New England,1209,19,54,72
University of New Hampshire,9750,24,62,89
University of North Carolina at Asheville,1757,32,74,77
University of North Carolina at Chapel Hill,14596,75,92,88
University of North Carolina at Charlotte,5803,19,62,79
University of North Carolina at Greensboro,5191,15,44,75
University of North Carolina at Wilmington,6071,15,67,82
University of North Dakota,2777,20,54,97
University of North Florida,1800,44,85,82
University of North Texas,4418,23,51,86
University of Northern Colorado,5530,12,37,75
University of Northern Iowa,4144,18,52,78
University of Notre Dame,7700,79,96,96
University of Oklahoma,4743,32,63,86
University of Oregon,8631,25,61,79
University of Pennsylvania,12394,85,100,95
University of Pittsburgh-Main Campus,8586,25,59,93
University of Portland,1758,27,58,92
University of Puget Sound,4044,51,83,79
University of Rhode Island,9643,12,40,84
University of Richmond,5892,46,72,75
University of Rochester,8766,56,75,93
University of San Diego,3934,40,70,93
University of San Francisco,2306,23,48,86
University of Sci. and Arts of Oklahoma,285,21,43,67
University of Scranton,4471,29,60,83
University of South Carolina at Aiken,848,14,24,62
University of South Carolina at Columbia,7693,30,66,84
University of South Florida,7589,29,63,84
University of Southern California,12229,45,71,90
University of Southern Colorado,1401,10,34,63
University of Southern Indiana,2379,8,25,56
University of Southern Mississippi,2850,20,50,78
University of St. Thomas MN,2057,26,53,80
University of St. Thomas TX,374,45,77,75
University of Tennessee at Knoxville,7473,27,53,86
University of Texas at Arlington,3281,19,43,73
University of Texas at Austin,14752,48,85,91
University of Texas at San Antonio,4217,17,46,94
University of the Arts,974,5,22,16
University of the Pacific,2459,36,66,87
University of the South,1445,46,83,89
University of Tulsa,1712,41,68,94
University of Utah,5095,27,53,89
University of Vermont,7663,18,51,87
University of Virginia,15849,74,95,90
University of Washington,12749,40,81,96
University of West Florida,1558,20,57,83
University of Wisconsin-Stout,2593,9,32,78
University of Wisconsin-Superior,910,14,53,75
University of Wisconsin-Whitewater,4400,12,38,90
University of Wisconsin at Green Bay,2409,17,50,81
University of Wisconsin at Madison,14901,36,80,93
University of Wisconsin at Milwaukee,5244,12,37,79
University of Wyoming,2029,23,46,91
Upper Iowa University,663,10,35,69
Ursinus College,1399,44,77,82
Ursuline College,325,21,47,39
Valley City State University,368,5,27,39
Valparaiso University,2075,49,81,87
Vanderbilt University,7791,71,92,93
Vassar College,3550,53,87,90
Villanova University,7759,30,68,89
Virginia Commonwealth University,4963,18,45,81
Virginia State University,2996,2,30,61
Virginia Tech,15712,29,53,85
Virginia Union University,1847,19,59,51
Virginia Wesleyan College,1470,20,49,70
Viterbo College,647,17,43,51
Voorhees College,1465,10,30,43
Wabash College,800,41,76,78
Wagner College,1416,10,44,67
Wake Forest University,5661,75,88,95
Walsh University,1092,27,92,42
Warren Wilson College,440,25,49,65
Wartburg College,1231,34,66,66
Washington and Jefferson College,1305,42,64,91
Washington and Lee University,3315,68,93,81
Washington College,1209,31,60,79
Washington State University,6540,31,70,84
Washington University,7654,62,93,91
Wayne State College,1373,6,21,60
Waynesburg College,1190,12,30,57
Webber College,280,5,27,53
Webster University,665,17,44,68
Wellesley College,2895,80,96,94
Wells College,318,40,85,93
Wentworth Institute of Technology,1480,6,25,10
Wesley College,980,10,25,52
Wesleyan University,4772,60,86,90
West Chester University of Penn.,6502,11,51,76
West Liberty State College,1164,12,25,33
West Virginia Wesleyan College,1566,28,55,58
Western Carolina University,3224,11,31,67
Western Maryland College,1205,31,50,84
Western Michigan University,9167,24,53,80
Western New England College,1650,7,21,74
Western State College of Colorado,2702,7,24,76
Western Washington University,5548,30,71,83
Westfield State College,3100,3,20,75
Westminster College MO,662,20,43,66
Westminster College,996,29,58,62
Westminster College of Salt Lake City,917,21,60,68
Westmont College,950,42,72,77
Wheaton College IL,1432,56,84,81
Westminster College PA,1738,21,55,92
Wheeling Jesuit College,903,15,49,66
Whitman College,1861,45,77,80
Whittier College,1681,35,63,84
Whitworth College,1121,43,70,80
Widener University,2139,24,64,88
Wilkes University,1631,15,36,78
Willamette University,1658,49,80,91
William Jewell College,663,32,67,74
William Woods University,469,17,39,39
Williams College,4186,81,96,94
Wilson College,167,16,50,67
Wingate College,1239,10,34,69
Winona State University,3325,20,45,53
Winthrop University,2320,24,61,71
Wisconsin Lutheran College,152,17,41,48
Wittenberg University,1979,42,68,82
Wofford College,1501,51,83,91
Worcester Polytechnic Institute,2768,49,86,92
Worcester State College,2197,4,26,60
Xavier University,1959,24,47,73
Xavier University of Louisiana,2097,34,61,67
Yale University,10705,95,99,96
York College of Pennsylvania,2989,28,63,75